plantID,site,species,site-species,growthform,phenophase,year,estimate,doy1,doy2,doy-diff
NEON.PLA.D01.BART.06083,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,296,290,296,6
NEON.PLA.D01.BART.06084,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,263,259,263,4
NEON.PLA.D01.BART.06084,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,321,305,321,16
NEON.PLA.D01.BART.06084,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06084,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,222,219,222,3
NEON.PLA.D01.BART.06084,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06085,BART,FAGR,BART-FAGR,Deciduous broadleaf,last flower,2016,146,146,153,7
NEON.PLA.D01.BART.06085,BART,FAGR,BART-FAGR,Deciduous broadleaf,peak flower,2016,146,146,153,7
NEON.PLA.D01.BART.06085,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,231,228,231,3
NEON.PLA.D01.BART.06085,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,321,305,321,16
NEON.PLA.D01.BART.06085,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,125,122,125,3
NEON.PLA.D01.BART.06085,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth end,2017,142,142,156,14
NEON.PLA.D01.BART.06085,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,222,219,222,3
NEON.PLA.D01.BART.06085,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06086,BART,FAGR,BART-FAGR,Deciduous broadleaf,first flower,2016,153,146,153,7
NEON.PLA.D01.BART.06086,BART,FAGR,BART-FAGR,Deciduous broadleaf,peak flower,2016,153,146,167,21
NEON.PLA.D01.BART.06086,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,228,224,228,4
NEON.PLA.D01.BART.06086,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,305,298,305,7
NEON.PLA.D01.BART.06086,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06086,BART,FAGR,BART-FAGR,Deciduous broadleaf,first flower,2017,125,122,125,3
NEON.PLA.D01.BART.06086,BART,FAGR,BART-FAGR,Deciduous broadleaf,peak flower,2017,129,128,131,3
NEON.PLA.D01.BART.06086,BART,FAGR,BART-FAGR,Deciduous broadleaf,last flower,2017,131,131,136,5
NEON.PLA.D01.BART.06086,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,219,215,219,4
NEON.PLA.D01.BART.06086,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06087,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,242,238,242,4
NEON.PLA.D01.BART.06087,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,305,298,305,7
NEON.PLA.D01.BART.06087,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06087,BART,FAGR,BART-FAGR,Deciduous broadleaf,first flower,2017,128,125,128,3
NEON.PLA.D01.BART.06087,BART,FAGR,BART-FAGR,Deciduous broadleaf,last flower,2017,136,136,139,3
NEON.PLA.D01.BART.06087,BART,FAGR,BART-FAGR,Deciduous broadleaf,peak flower,2017,136,131,139,8
NEON.PLA.D01.BART.06087,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth end,2017,142,142,156,14
NEON.PLA.D01.BART.06087,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,215,212,215,3
NEON.PLA.D01.BART.06087,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06088,BART,FAGR,BART-FAGR,Deciduous broadleaf,last flower,2016,146,146,153,7
NEON.PLA.D01.BART.06088,BART,FAGR,BART-FAGR,Deciduous broadleaf,peak flower,2016,146,146,153,7
NEON.PLA.D01.BART.06088,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,228,224,228,4
NEON.PLA.D01.BART.06088,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,125,122,125,3
NEON.PLA.D01.BART.06088,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,222,219,222,3
NEON.PLA.D01.BART.06088,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06089,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,235,231,235,4
NEON.PLA.D01.BART.06089,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,305,298,305,7
NEON.PLA.D01.BART.06089,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06089,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth end,2017,142,142,156,14
NEON.PLA.D01.BART.06089,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,222,219,222,3
NEON.PLA.D01.BART.06089,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06090,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,235,231,235,4
NEON.PLA.D01.BART.06090,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,321,305,321,16
NEON.PLA.D01.BART.06090,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06090,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth end,2017,142,142,156,14
NEON.PLA.D01.BART.06090,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,219,215,219,4
NEON.PLA.D01.BART.06090,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06091,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,277,270,277,7
NEON.PLA.D01.BART.06091,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,321,305,321,16
NEON.PLA.D01.BART.06091,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,125,122,125,3
NEON.PLA.D01.BART.06091,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,219,215,219,4
NEON.PLA.D01.BART.06091,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06092,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,228,224,228,4
NEON.PLA.D01.BART.06092,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,321,305,321,16
NEON.PLA.D01.BART.06092,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06092,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth end,2017,142,142,156,14
NEON.PLA.D01.BART.06092,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,205,201,205,4
NEON.PLA.D01.BART.06092,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,296,290,296,6
NEON.PLA.D01.BART.06093,BART,FAGR,BART-FAGR,Deciduous broadleaf,last flower,2016,146,146,153,7
NEON.PLA.D01.BART.06093,BART,FAGR,BART-FAGR,Deciduous broadleaf,peak flower,2016,146,146,153,7
NEON.PLA.D01.BART.06093,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,214,210,214,4
NEON.PLA.D01.BART.06093,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,321,305,321,16
NEON.PLA.D01.BART.06093,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06093,BART,FAGR,BART-FAGR,Deciduous broadleaf,first flower,2017,128,125,128,3
NEON.PLA.D01.BART.06093,BART,FAGR,BART-FAGR,Deciduous broadleaf,peak flower,2017,133,131,136,5
NEON.PLA.D01.BART.06093,BART,FAGR,BART-FAGR,Deciduous broadleaf,last flower,2017,136,136,139,3
NEON.PLA.D01.BART.06093,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth end,2017,142,142,156,14
NEON.PLA.D01.BART.06093,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,226,222,226,4
NEON.PLA.D01.BART.06093,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06094,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,242,238,242,4
NEON.PLA.D01.BART.06094,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06094,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth end,2017,142,142,156,14
NEON.PLA.D01.BART.06094,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,219,215,219,4
NEON.PLA.D01.BART.06094,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06095,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,228,224,228,4
NEON.PLA.D01.BART.06095,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,305,298,305,7
NEON.PLA.D01.BART.06095,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06095,BART,FAGR,BART-FAGR,Deciduous broadleaf,first flower,2017,128,125,128,3
NEON.PLA.D01.BART.06095,BART,FAGR,BART-FAGR,Deciduous broadleaf,last flower,2017,131,131,136,5
NEON.PLA.D01.BART.06095,BART,FAGR,BART-FAGR,Deciduous broadleaf,peak flower,2017,131,128,136,8
NEON.PLA.D01.BART.06095,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,201,198,201,3
NEON.PLA.D01.BART.06095,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06096,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,235,231,235,4
NEON.PLA.D01.BART.06096,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,305,298,305,7
NEON.PLA.D01.BART.06096,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06096,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,222,219,222,3
NEON.PLA.D01.BART.06096,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06097,BART,FAGR,BART-FAGR,Deciduous broadleaf,last flower,2016,146,146,153,7
NEON.PLA.D01.BART.06097,BART,FAGR,BART-FAGR,Deciduous broadleaf,peak flower,2016,146,146,153,7
NEON.PLA.D01.BART.06097,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,228,224,228,4
NEON.PLA.D01.BART.06097,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,321,305,321,16
NEON.PLA.D01.BART.06097,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06097,BART,FAGR,BART-FAGR,Deciduous broadleaf,first flower,2017,128,125,128,3
NEON.PLA.D01.BART.06097,BART,FAGR,BART-FAGR,Deciduous broadleaf,last flower,2017,139,139,142,3
NEON.PLA.D01.BART.06097,BART,FAGR,BART-FAGR,Deciduous broadleaf,peak flower,2017,139,136,142,6
NEON.PLA.D01.BART.06097,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,219,215,219,4
NEON.PLA.D01.BART.06097,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06098,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,235,231,235,4
NEON.PLA.D01.BART.06098,BART,FAGR,BART-FAGR,Deciduous broadleaf,last flower,2016,242,242,245,3
NEON.PLA.D01.BART.06098,BART,FAGR,BART-FAGR,Deciduous broadleaf,first flower,2016,242,238,242,4
NEON.PLA.D01.BART.06098,BART,FAGR,BART-FAGR,Deciduous broadleaf,peak flower,2016,242,238,245,7
NEON.PLA.D01.BART.06098,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,305,298,305,7
NEON.PLA.D01.BART.06098,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06098,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth end,2017,142,142,156,14
NEON.PLA.D01.BART.06098,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,219,215,219,4
NEON.PLA.D01.BART.06098,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06099,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,221,217,221,4
NEON.PLA.D01.BART.06099,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06099,BART,FAGR,BART-FAGR,Deciduous broadleaf,first flower,2017,128,125,128,3
NEON.PLA.D01.BART.06099,BART,FAGR,BART-FAGR,Deciduous broadleaf,last flower,2017,128,128,131,3
NEON.PLA.D01.BART.06099,BART,FAGR,BART-FAGR,Deciduous broadleaf,peak flower,2017,128,125,131,6
NEON.PLA.D01.BART.06099,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth end,2017,142,142,156,14
NEON.PLA.D01.BART.06099,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,205,201,205,4
NEON.PLA.D01.BART.06099,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06100,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,228,224,228,4
NEON.PLA.D01.BART.06100,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,321,305,321,16
NEON.PLA.D01.BART.06100,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06100,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth end,2017,142,142,156,14
NEON.PLA.D01.BART.06100,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,226,222,226,4
NEON.PLA.D01.BART.06100,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06499,BART,ACPE,BART-ACPE,Deciduous broadleaf,new growth start,2016,127,125,127,2
NEON.PLA.D01.BART.06499,BART,ACPE,BART-ACPE,Deciduous broadleaf,first flower,2016,134,132,134,2
NEON.PLA.D01.BART.06499,BART,ACPE,BART-ACPE,Deciduous broadleaf,peak flower,2016,141,139,144,5
NEON.PLA.D01.BART.06499,BART,ACPE,BART-ACPE,Deciduous broadleaf,last flower,2016,146,146,153,7
